Year,Month,Channel,Brand,Weight range,Units (in 1000),Value (in 1000 rub),Volume (in 1000 kg),Number of stores
2020,4,Supermarkets,Delicate,400-599G,5.7053,649.040983,2.8527,2566
2020,4,Supermarkets,Deep,<200G,1.692,457.457559,0.3215,115
2020,4,Supermarkets,Deep,350-399G,0.0232,7.416068,0.0082,6
2020,4,Supermarkets,Deep,400-599G,0.0639,31.154171,0.0319,54
2020,4,Supermarkets,Pale,<200G,0.0877,10.94554,0.0166,28
2020,4,Supermarkets,Pale,350-399G,0.0007,0.250637,0.0002,1
2020,4,Supermarkets,Pale,400-599G,1.7914,455.096599,0.7166,262
2020,4,Supermarkets,Dim,350-399G,0.0597,27.19477,0.0209,0
2020,4,Supermarkets,Dim,400-599G,0.7026,360.11203,0.2951,0
2020,4,Supermarkets,Vivid,<200G,0.3512,54.916409,0.0632,0
2020,4,Supermarkets,Vivid,350-399G,0.6254,129.905255,0.2188,0
2020,5,Hypermarkets,Green,200-249G,22.3576,1261.464109,4.6951,572
2020,5,Hypermarkets,Green,350-399G,57.154,5056.081495,20.0039,778
2020,5,Hypermarkets,Green,400-599G,29.5413,3514.288662,14.7706,640
2020,5,Hypermarkets,Green,600-899G,0.3545,67.328507,0.2658,22
2020,5,Hypermarkets,Blue,400-599G,17.0951,3209.643513,6.8381,633
2020,5,Hypermarkets,Black,200-249G,12.0351,665.216812,2.7681,478
2020,5,Hypermarkets,Black,400-599G,1.8037,280.366585,0.8117,285
2020,5,Hypermarkets,Red,350-399G,2.1726,330.982913,0.8038,138
2020,5,Hypermarkets,White,<200G,3.2213,305.898532,0.5798,95
2020,5,Hypermarkets,Yellow,350-399G,1.8592,140.871749,0.6692,105
2020,5,Hypermarkets,Purple,400-599G,0.6509,126.123622,0.2604,138
2020,5,Hypermarkets,Orange,250-299G,0.0081,2.613454,0.0023,3
2020,5,Hypermarkets,Orange,400-599G,0.7626,92.107813,0.305,115
2020,5,Hypermarkets,Pink,<200G,0.2396,37.023186,0.0455,0
2020,5,Hypermarkets,Pink,350-399G,0.0011,0.119351,0.0004,0
2020,5,Hypermarkets,Lime,400-599G,0.1731,35.477459,0.0693,46
2020,5,Minimarkets,Green,200-249G,62.2945,3886.490741,13.0819,7742
